OBJECTID,ctyua17cd,ctyua17nm,Shape_Leng,Shape_Area,AdultCount,AdultWeekl,AWSD,AWSDCat,AdultMonth,AMSD,AMSDCat,AdultINever,ANSD,ANSDCat,AdultInfreq,AISD,AISDCat,ChildCount,ChildWeekl,ChildMonth,ChildNever
130,E08000037,Gateshead,87124.44048,142359624.9,255,0.579420397,0.124408928,>0,0.76709599,0.044070682,>0,0.11707235,0.565540487,>0,0.11583166,-0.619320797,<0,63,0.746289654,0.815391779,0.184608221
92,E10000013,Gloucestershire,518997.2226,2653079865,1288,0.593872787,0.282444693,>0,0.779176081,0.209902177,>0,0.10341232,0.251718778,>0,0.117411599,-0.58415775,<0,275,0.629354053,0.761433175,0.238566825
137,E09000011,Greenwich,46465.33127,47305858.03,754,0.497452935,-0.771898921,<0,0.712549878,-0.704720307,<0,0.135059428,0.978770587,>0,0.152390695,0.194335346,>0,258,0.652242855,0.718121754,0.281878246
138,E09000012,Hackney,25016.06255,19055506.49,67,0.388738574,-1.960682039,< 1,0.493419225,-3.712873453,< 2,0.256601535,3.771044964,>2,0.24997924,2.366261359,>2,49,0.621962663,0.678161685,0.321838315
9,E06000006,Halton,76357.59468,79111882.4,452,0.433556817,-1.470598023,< 1,0.641139385,-1.685019942,< 1,0.110095909,0.405265682,>0,0.248764706,2.339230748,>2,82,0.668326115,0.775268906,0.224731094
24,E09000013,Hammersmith and Fulham,23446.75002,16382501.53,333,0.590269406,0.243042001,>0,0.748782612,-0.207329315,<0,0.130149916,0.865980831,>0,0.121067472,-0.502792814,<0,70,0.560316175,0.634881749,0.365118251
93,E10000014,Hampshire,664438.0701,3678859101,1512,0.719202513,1.652915541,>1,0.870386933,1.462014593,>1,0.051732172,-0.93556649,<0,0.077880895,-1.463951217,< 1,412,0.828785239,0.882771911,0.117228089
33,E09000014,Haringey,28383.74971,29601369.61,627,0.466633207,-1.10891026,< 1,0.675712453,-1.210412297,< 1,0.150679393,1.337619295,>1,0.173608154,0.666550104,>0,145,0.565103882,0.702664973,0.297335027
44,E09000015,Harrow,33263.16984,50448756.66,614,0.453577184,-1.25167686,< 1,0.727516019,-0.499270072,<0,0.088349352,-0.094333637,<0,0.184134628,0.900826808,>0,113,0.551389677,0.697345621,0.302654379
1,E06000001,Hartlepool,69387.72317,93597464.68,134,0.572759478,0.051572294,>0,0.776738772,0.176443605,>0,0.128345238,0.824520663,>0,0.094915989,-1.084818975,< 1,23,0.842304945,0.842304945,0.157695055
139,E09000016,Havering,62367.0041,112341836.6,111,0.469029307,-1.082709092,< 1,0.672093937,-1.260086088,< 1,0.15254556,1.380492093,>1,0.175360504,0.705550322,>0,44,0.746981387,0.802790249,0.197209751
21,E06000019,"Herefordshire, County of",338787.723,2179677402,155,0.582879411,0.162232978,>0,0.794255433,0.416906535,>0,0.096214987,0.086369262,>0,0.109529579,-0.759579612,<0,24,0.527237354,0.653777308,0.346222692
94,E10000015,Hertfordshire,298612.9932,1643004578,2721,0.625455491,0.627799116,>0,0.853647663,1.23222343,>1,0.04390747,-1.115329006,< 1,0.102444867,-0.917256625,<0,530,0.752331362,0.81801595,0.18198405
140,E09000017,Hillingdon,62381.75837,115737806.6,294,0.466537793,-1.109953604,< 1,0.643092071,-1.658214114,< 1,0.096839093,0.100707299,>0,0.260068836,2.590814927,>2,107,0.495875153,0.606506156,0.393493844
141,E09000018,Hounslow,60019.32156,55972269.96,446,0.487516635,-0.880551592,<0,0.709568712,-0.745644768,<0,0.132539681,0.920882624,>0,0.157891607,0.316763382,>0,135,0.701770022,0.74384677,0.25615323
50,E06000046,Isle of Wight,181781.43,380221619.1,502,0.741538558,1.897158463,>1,0.869167325,1.445272218,>1,0.040222961,-1.199975885,< 1,0.090609714,-1.180659227,< 1,68,0.779934312,0.863022357,0.136977643
56,E06000053,Isles of Scilly,104959.7275,16387719.47,,,,,,,,,,,,,,,,,
142,E09000019,Islington,20477.30587,14837420.45,185,0.505027419,-0.689072525,<0,0.70039561,-0.871570079,<0,0.163287106,1.627265367,>1,0.136317283,-0.163393747,<0,55,0.525701669,0.622626042,0.377373958
61,E09000020,Kensington and Chelsea,20708.81921,12139191.85,98,0.390674099,-1.939517223,< 1,0.612867651,-2.073124958,< 2,0.281691415,4.34745285,>2,0.105440934,-0.8505763,<0,23,0.636675297,0.636675297,0.363324703
95,E10000016,Kent,640733.5972,3546040047,4291,0.631931243,0.698610962,>0,0.820725454,0.780278231,>0,0.060659458,-0.730473518,<0,0.118615088,-0.557372956,<0,1208,0.713744862,0.82910471,0.17089529
5,E06000010,"Kingston upon Hull, City of",63330.24028,71455773.08,1028,0.492862873,-0.822090893,<0,0.751922019,-0.164232574,<0,0.08378709,-0.199145768,<0,0.164290891,0.459185542,>0,209,0.800201428,0.880244502,0.119755498
83,E09000021,Kingston upon Thames,37073.55617,37275479.54,310,0.548667379,-0.211872942,<0,0.817704644,0.73880955,>0,0.03711736,-1.271323094,< 1,0.145177996,0.03380986,>0,61,0.807291015,0.879998646,0.120001354
126,E08000034,Kirklees,121475.5122,408496919.1,760,0.505052982,-0.688792996,<0,0.723771167,-0.550678162,<0,0.101706813,0.212536937,>0,0.17452202,0.686889062,>0,240,0.65636602,0.778029815,0.221970185
68,E08000011,Knowsley,66872.27716,86537089.44,584,0.477827583,-0.986500625,<0,0.680187947,-1.148974195,< 1,0.11304865,0.473101128,>0,0.206763403,1.404451747,>1,144,0.786535486,0.851072168,0.148927832
86,E09000022,Lambeth,33300.50922,26797935.8,636,0.570915831,0.031412157,>0,0.753491537,-0.14268675,<0,0.112132459,0.452052813,>0,0.134376004,-0.20659876,<0,118,0.732574057,0.817332606,0.182667394
98,E10000017,Lancashire,798644.5908,2904199427,3034,0.62370955,0.608707386,>0,0.800566777,0.503546579,>0,0.054803166,-0.865014333,<0,0.144630056,0.021614934,>0,528,0.574501438,0.610355004,0.389644996
128,E08000035,Leeds,156562.5657,551788605.9,1288,0.616229946,0.526918495,>0,0.805024181,0.564736347,>0,0.072091681,-0.467832824,<0,0.122884138,-0.462361182,<0,348,0.763109461,0.831345055,0.168654945
10,E06000016,Leicester,50729.5935,73376543.8,724,0.46324833,-1.145923628,< 1,0.632294013,-1.806446284,< 1,0.193277939,2.316266378,>2,0.174428047,0.684797603,>0,257,0.536219095,0.662271196,0.337728804
